key,volume,num_txs
sei17c693mpg3hxnun3s235q5ur7gtptmcprzz7qq7,0,84
0x74a965b984d4Ad33729A1E096DAB023dd5032277,0,56
sei16zfzwxmyegd9vjfp4z4xdaxj8uv7h6u8yufu6s,0,47
0x69460570c93f9DE5E2edbC3052bf10125f0Ca22d,42163,46
0x5815DB4518902973aAC8b91D64b60EB2190FdCeF,0,36
umee13698097t2cgsj9jv44csrku3n895ukfarf6qjv,369400,36
osmo12afx74mey05dpllkxsaqexhyeljstnuvsaug5y,31671,27
osmo13698097t2cgsj9jv44csrku3n895ukfaey50qv,188429,27
umee175rkfyxgr3dra0a639a7elcqdcvt4xg2v44a3r,238714,26
secret1zd6jkghn0lqwp6npu5zxehnwdew2w8qn0gnxus,3839,21
osmo175rkfyxgr3dra0a639a7elcqdcvt4xg2kcmjrr,97131,19
sei1c95984pds84l09d9z6v8g77l96hslr0fqchvwn,0,19
sei1w99d6y2c4v272ntg7lyr8c23a406q8rhjxlteg,0,19
osmo19yf7534sh6f6y949axqzgjq0fzg7fec98yls9g,236,18
0xAa573f94bcca0a8083846430BA5120EddbfCa055,23378,17
0xF30aA4F9AdEcb8bB209F764D300CbF78341d5e55,0,15
0x018ce2185a16F5Ce0C1f5eBa2B7739E5F49ca717,0,14
neutron1wgemktpn7dhyfv6ndy5rdwzhum7l4rvzpljfaf,57109,14
stars1zl6avgsqrxdqctwzuq7vzhfwx8yguzdwgawcrx,5334,14
osmo1kfsg0a85zx6c9ypntfqg2uwgtj0q42wjur3556,2962,11
0x6E124aD9A8fce93E7fCC13d653b962554Abe41f7,10035,10
0xf324adC872005197A6f7DAE214d3b63aa0C3625F,123309,10
axelar1yezha458zp5uylza8lyskk2fum623zcd64kzqw,1389,10
osmo10xnqv49h7hh0gfspl7pq6w5nfqtkvj4rxzhel9,16314,10
osmo15qtk02q46zxxmhnjj65zqq2046nq8sshjc7cw9,1841,10
secret1qj5v553tt8hkh3nprp28utdcpkmp6fkaj3rmjq,23392,10
0x69a5DD596f448A65fBD8b5aeB345CA53ea20bc71,11888,9
kujira175rkfyxgr3dra0a639a7elcqdcvt4xg20t26cm,59298,9
osmo1044qatzg4a0wm63jchrfdnn2u8nwdgxxt6e524,25855,9
rebus16ylcjqaz9xsnmt7mlw2uh2lsum4etn7zzhu7h9,253,9
stars1lttjtqh26d9dhy2v2kc74zdpd7yl2xtal28efc,6131,9
umee1jehl7x6ayp6sr7arq7syp8a24952zk0ancfp4w,876319,9
0x4c439c2A4C0b3bEB11bF7279BCdAaC07A70fB995,21748,8
0x6dF7794cF76FaA1831A00e8a812a1Cd0e65082b1,540,8
kujira15zsdeden0nr59su6t3mhcs8ueua3wxpppte5pj,63225,8
osmo1gpleadeggjjttv3y57xsd3xezha83uqwuy03ax,9800,8
osmo1rkk8tfk8xkhln3v64776tq6e3wjs9jh9e4hs06,11557,8
secret1s7054dtzcsf7vjv5yh8d65d7tdppa0pf69f7p0,4762,8
umee1gpleadeggjjttv3y57xsd3xezha83uqwxfp70x,11897,8
umee1q8ewvlqdajs7yxquffhl2dk5fmk4n0e7hjww8e,711613,8
0x73f9EfAf5E30179e2915c5EF6F790A6A7E8A9794,193521,7
0xDa568Ad201be0ED42424CA47862e1577C55DF61f,2317,7
kujira1054levz5s204ctyx0y76ttg2mvz6ftrywxn685,1556,7
kujira1nazl87qu8uly3etvu3fjvs3rmfykmxjf6suyrm,10758,7
kujira1zjcr6wjrh256wpjgz9y0ruhlgq7mnn7nhjv8a3,2382,7
osmo108t6djm7mvuxwgtm8hrk7vzumue506tvr7003u,4731,7
osmo1gf4sj5snxf64rgj9a2358p6hf0ezjem066rucc,2629,7
osmo1hhghzr5m9qta9mah8s4nfmpqcxu52mjq9cuhgu,11006,7
osmo1sqgft4nkvj3ve2z8e37wn45jts2vp7xnqs8mcl,2274,7
osmo1w8ma2ynru7tstvhkzhe0mr38dcge2mkfk5uvp7,4750,7
secret1lm3zuetyqvxlqq2p8rz52n9zw8kqtaqpv0hfyf,345,7
0x042c56b73fa511aceFF213a37f48Ba9e0DFcaA50,52329,6
0x451e39C3421811D72F02c61a9bdd4E93a7fEBbDC,0,6
0xc7f89cD77F2FC4E70209b9BAc23AFBc9BB78Bb44,32865,6
0xcC82Fa267B70038FeE4824FaAA50D6029C216D24,867,6
0xDEb3994785Bfc8863e808df0E0C43C9C0058d7c9,4111,6
0xE743a49F04F2f77eB2D3b753aE3AD599dE8CEA84,203,6
kujira13698097t2cgsj9jv44csrku3n895ukfaqh98m5,40408,6
osmo14gayavu8hvy2q64wzj8czvj9nrjywxvn2ppw7m,48429,6
osmo1jgcf9ej9x2hq0755t2sdlv9vnay4ujn7wjrume,8618,6
rebus1azky7jmaj2rt0et7ha79495tpnt3hdryahyc5k,256,6
secret1ch6m799rrd863atjn4mkxwjysls6vcju0kyhvv,3021,6
secret1pyckal58dw0hfsq0vrr5ljmsj7scx55x3zfg07,3717,6
umee14gayavu8hvy2q64wzj8czvj9nrjywxvnsv0pvm,28573,6
0x1E56566dC450392F8C64dA0cEE263b024aD5d2b1,11347,5
0x4B0F9fd492B96F0E13472575436A876C8fBBbCeC,11649,5
0x65A8F07Bd9A8598E1b5B6C0a88F4779DBC077675,1143,5
kujira1dypw9svzcw6atkxd8lqnjyxqsyd3xhxr584rc9,5962,5
kujira1k3cuj7h3j6kwrr8qee5whpsuzxn04xrs5t2n7n,6970,5
osmo1c0r9k5hhc40hryh32glpkqljjfxjstann3qntz,2595,5
secret1n4ywwylwhmf3rl5exd763zw0ehpjel768d683c,54422,5
0x02Ae4716B9D5d48Db1445814b0eDE39f5c28264B,6167,4
0x02b40455d57FB865D5B9aF2D4ac56308dD28a3c2,1406,4
0x17a62aCa41CD312EEA6164f353a0542C51aF8770,119310,4
0x1C3a068430F8fE592703D07B9fd063d47BDe8ABa,27000,4
0x1f2B74aD67b407b6F6866BCB4f1EB308B9a3cAcb,629,4
0x6da6BD71351a63EB1E5b075d634e2010d4Be563D,294,4
0x75207e413C8C7E2B0f6ADd9335a56A6eF369d7Ab,56640,4
0x85A65a7b8983fE359e877e3F9c52e14B320829fB,4784,4
0xDB1851a772aF91162Cd33512bE5F09B744420833,2413,4
0xe9f75722119EA117351c7C54D6e6Fe9ee2f8c715,5764,4
axelar19t2ux6g4zpqutl5uapj92lxqkk7klstj2pcek4,53862,4
axelar1uc2vjzyu84hrn2ppasjr9a6x8d39gg545ha6gq,126308,4
kujira1ga7swy7vfhste3k9k0wumljfndpftn70j5ydz4,16013,4
kujira1jz2wmfvcudvkpdckzxjemy62852x5e4ht9zx22,137088,4
kujira1v7xyjj2we4udmyyy68hhlv5gtamcut7chmva3r,10212,4
kujira1vddna7z47scl3hh6f73afte93ggcww37reqyxu,917,4
kujira1we4400s48q9y9whqyxual7v0dquhsss8wpqx48,12,4
osmo1463285er77su2hug4unn30suw37pgq6mk2frg5,40,4
osmo16ylcjqaz9xsnmt7mlw2uh2lsum4etn7zmxvm4p,150,4
osmo17v6dynduhjtclqwd4as2uyq29xcn8sd93qz92v,3222,4
osmo187gtaaft5tuxwvfcf3r9x4m4u7dlt8h208xsg3,876,4
osmo1f639684l7akc5mpvnj2kkvqgxdzxg5ttu33fq9,32,4
osmo1fe4fknhcc4gx95nwzaymrudygc5y0t7qtgqldc,2262,4
osmo1k2ukxu3u74kcfayse3yhaqexefaq73whjlv5yc,226,4
secret1k5xgkrxhl4aqc07hwndr6l65uxenm6plh897vj,1723,4
secret1p3f40gmntgasvwgwaennsrr2zy9zp8qg007cvs,19048,4
secret1se6v0yn7z535sq43rvuf082syj540yqd76pxs2,8649,4
umee10xnqv49h7hh0gfspl7pq6w5nfqtkvj4ru0ekd9,6078,4
umee1taxh30jyfa0rn2mm03d0c2u5d0lnmulgdfgxx6,4014,4
xpla1qnu6kkf59skvp2n63vrr44xp7xmrp60uku5z2m,3303,4
0x068cA4D5a5cAb75a7610618Ba609E2F972C2EF88,7561,3
0x07Eea227d9ed3BCae9fC38350785b32c6556C88f,1287,3
0x0a7823b86ED6dfa90aCFeD3C559f772392A69A90,56527,3
0x151a04eA4908D28814a9CBA42410fB04aa94580e,175,3
0x18c44DA58f661420814E8Ee1c684DFBb8Be81aD4,0,3
0x28aa4F9ffe21365473B64C161b566C3CdeAD0108,49665,3
0x5b33Ab06095A7060E432a2118572fBDf881aE1bF,37156,3
0x65d011bAfF3c1d29f3A3a6F1D03dE627cC8863ed,2994,3
0x6945c4618339b970901A7Efb8f476224602cCE4a,4715,3
0x91b59d2667FF31e1453Ea1e3fbABB037E67D3992,33659,3
0x957eEC8D4C10414d7246cD9F812eBF738704c3b4,7731,3
0x964E14EEC67216084Dfb17117E929FC162E7870c,385,3
0xCe6807E114De0B3E789Ae8914Ff428b03d0127C6,2728,3
0xb8c7486c24f51BF1E502876D31c452448E8B9E81,392,3
0xCD6C55cBC9A486b42f3fB7366aB030783eeC2224,174,3
0xEe9dB42A7A7E82Ce11Ee499fF687E1492acE6166,2173,3
0xF30aA4F9AdEcb8bB209F764D300CbF78341d5e55,162,3
axelar1a082t7jkl8fzhqvm0vgcy5rtq7hfqkrdnwh8s7,10813,3
axelar1ewcnz9w06u0xpqh9varg87rwnu4hy763w0ppq0,6201,3
axelar1gpleadeggjjttv3y57xsd3xezha83uqws32fq4,2844,3
axelar1r9ue2vy08gyctcp4cj7hspct8kcvm8kg22swl8,37,3
axelar1sxk4gvf4d7n5pha4mnad6048fdxra6qyzwnm0y,72,3
axelar1wx33kqfj0zs3kpsu90resx5e7zn9v5khvz3kd7,4016,3
ki1rng585ex024csm3mqwrpug4lk0elfvxu8l33vw,1872,3
