key,volume,num_txs
0xE743a49F04F2f77eB2D3b753aE3AD599dE8CEA84,100003,237
sei17c693mpg3hxnun3s235q5ur7gtptmcprzz7qq7,0,125
0x74a965b984d4Ad33729A1E096DAB023dd5032277,0,86
0x018ce2185a16F5Ce0C1f5eBa2B7739E5F49ca717,0,69
0x5815DB4518902973aAC8b91D64b60EB2190FdCeF,0,60
sei16zfzwxmyegd9vjfp4z4xdaxj8uv7h6u8yufu6s,0,55
sei1c95984pds84l09d9z6v8g77l96hslr0fqchvwn,0,47
0x69460570c93f9DE5E2edbC3052bf10125f0Ca22d,23863,42
axelar1w99d6y2c4v272ntg7lyr8c23a406q8rhmyc45g,0,29
sei1w99d6y2c4v272ntg7lyr8c23a406q8rhjxlteg,0,26
0x451e39C3421811D72F02c61a9bdd4E93a7fEBbDC,0,21
axelar1vjnmujulqy7pghld8wmf4k76kp8sx8q4ktfrx6,741350,20
osmo19yf7534sh6f6y949axqzgjq0fzg7fec98yls9g,201,19
0xF30aA4F9AdEcb8bB209F764D300CbF78341d5e55,0,18
0xb16Ad1a21185823c780D0a69B777DbdcB9aB87d1,234437,17
umee175rkfyxgr3dra0a639a7elcqdcvt4xg2v44a3r,70398,16
0x69a5DD596f448A65fBD8b5aeB345CA53ea20bc71,14199,15
osmo175rkfyxgr3dra0a639a7elcqdcvt4xg2kcmjrr,80664,15
0xCe6807E114De0B3E789Ae8914Ff428b03d0127C6,10600,14
osmo16ylcjqaz9xsnmt7mlw2uh2lsum4etn7zmxvm4p,497,13
0xDB1851a772aF91162Cd33512bE5F09B744420833,6036,10
sei1h4qhm5lc6yhy9yzwyvqkju2hdqxt8cvnwntr5g,0,10
0xcC82Fa267B70038FeE4824FaAA50D6029C216D24,2260,9
0x6dF7794cF76FaA1831A00e8a812a1Cd0e65082b1,1031,7
0x916B1f14Ee6d1b5a948e50A575873865c965aa12,0,7
0x98bA19c8fd262709838AA4B5Bc7862857C35dD85,18366,7
secret1cnlray30lrj8yz7d8sy86sxms73h6l6j6fwdnv,97241,7
secret1s7054dtzcsf7vjv5yh8d65d7tdppa0pf69f7p0,2622,7
umee1kfsg0a85zx6c9ypntfqg2uwgtj0q42wjxwlmx6,3447,7
0x1affD761D7B741236B059FB03b33352d23DC2B47,11818,6
0x4c439c2A4C0b3bEB11bF7279BCdAaC07A70fB995,29263,6
0x89E66c8077cb37378d5145ce0dF16D908Bc0Ad35,1469,6
0xf8705bA9C69EA9955DF3433F4C045183D8E29ff5,145057,6
axelar17k8pf77rnn842spzsd2wrw8v5qrd6360gh29lg,2680,6
axelar1j968flekxl0cjk6y3efrqt3v84xujnavv6lwka,213389,6
kujira1rw4npeyfhak5h0yr9ud9r682xs48w2hcp00t0g,11008,6
osmo13ns9dp22c39gya66k3ejc4lgvux03kgjkdvs2l,231,6
osmo1dqr7ltnmpqaa8fzz8nsjevuyas3t8ws3lc58y7,462,6
osmo1gayj3vhg0tud5z4rpujr2lwvglkqzgzhpd9kuu,76948,6
osmo1kfsg0a85zx6c9ypntfqg2uwgtj0q42wjur3556,1361,6
umee1njz97rhsehp5zzqnek2meqy6eyawqtf3d4knjw,193315,6
0x8CF877e91118Ab50Ff00dE1e6E6A566c9C2B8228,95822,5
0xFcaB49E2A7421767D4cf485b452555f998ED4CA2,428,5
axelar12zhpu5c7g2myz03kkwdj28eu7yv0fel8x0v2ng,86836,5
axelar1lfnd6hge0c6udzr25fykhm654fj4hep0yw6xa3,8151,5
kujira1p2udsrlvfx0lkz9sa79s42swwagk0864cgfg7c,266,5
osmo108t6djm7mvuxwgtm8hrk7vzumue506tvr7003u,673,5
osmo10vv8ddknjfy3muhvdx4uad4tfpasgzmmru470e,37430,5
osmo120r3lwjh2fn0hu80e0gw5fc0tsk6ce3auvc42p,79149,5
osmo1fe4fknhcc4gx95nwzaymrudygc5y0t7qtgqldc,1994,5
secret18dnawhkwzavdwp8jp6ayf3z6pn7tdjwqum6wpz,478,5
secret1se6v0yn7z535sq43rvuf082syj540yqd76pxs2,24319,5
0x02Ae4716B9D5d48Db1445814b0eDE39f5c28264B,5648,4
0x09cB1ffCadd2A642D1b5889803e20779aF3587d6,1047,4
0x2713B4Bd0D791E4bB40bB73b8bBc2f5C6071fDb8,377,4
0x6cf9667fe165f6C0E70eA408A42B8a7d6EE89C40,894,4
0x73f9EfAf5E30179e2915c5EF6F790A6A7E8A9794,114923,4
0x75584C64299aE9336c3a8354471fF1eCD6C806a9,4787,4
0x7Ada5FF1db8F3662E945B97d8B678F5eACBB3a06,2904,4
0x88Da00162f5c55a9ddAfbD30f67e499Ea98Da47d,461307,4
0x9A5D7098b855550c0BB4f987d9cCE9A4917AF40d,1349,4
0x9d54ea391F9366aF5685Ad555d0851883e649970,12673,4
0xDC42a3f3709d2f0D288c9758e6d8cF3AA279f012,1031,4
0xa469c150AB907F1F6d09B1Ce830e2f65ECE2DE7b,1363,4
0xeAeb24fadc977841F29d7dAa7d80644785aDA634,864,4
0xFb55985878Edea42d3E7AaCC9Da25b83ef2C13F3,1283,4
0xFD9f8339EaC86898Cb6fB8b5D89C5497Dc88D9C2,25090,4
axelar1dxy44f6c24l73z5uquaql65dt80unq5fkh4slv,432,4
axelar1fem3fzutaphy97yygjdgm39xskhemdzl0y828w,320,4
ki1c0z47y2z8k9mvsvkdpwasgktmc6hqk45g70a76,202,4
kujira18sd2ujv24ual9c9pshtxys6j8knh6xae0kn02n,0,4
kujira19dq448afvp9twqyd4mkq6p58ejvxt9wj05lcld,3382,4
kujira1u7ny2099vx5fvhfna760jf2vpee84acxk2l6vp,155,4
osmo1cfqu070jzduxcu7g20xtgmzfmkp87x3lsrstv6,9086,4
osmo1gf6zfvjpcn0ag0ngxgd8ee7fulzg425qpkm5y5,1982,4
osmo1hrzjpysdeeqahrzh3zy3gc68na5fl7q4m9e8he,905,4
osmo1kedj9lyall2pcfd2ndduw4lxqr788ppyexj5wa,1046,4
osmo1ppnq7cmrhy7g52w3th0qpzsrda4n264tmpas7j,20,4
osmo1u5266h7r72qzl0l6tu6v80gxv8nuqrjrk3lf7n,29,4
osmo1uknjslwqry5rs806d5uaa78fgfhxey03mts73l,14488,4
rebus1azky7jmaj2rt0et7ha79495tpnt3hdryahyc5k,243,4
secret1mslgzznugzgfd3hmnlk78hsnt85lqhfvy7923m,1341,4
secret1qj5v553tt8hkh3nprp28utdcpkmp6fkaj3rmjq,10400,4
sei1n34s7k68dq0g3jp04692m4awekd9krse92gzw8,0,4
sei1tmtpfl965s0mscqhgyfzxu02x28wym0lckrcdu,0,4
0x1Af23216469EA6201Bd73E04c089B1251caf3Ef6,0,3
0x25681Ab599B4E2CEea31F8B498052c53FC2D74db,3541,3
0x25a8547DE28f6474b044533f8840d28772147139,7962,3
0x46060Ef57bA216B7B92Eb7f9d1a925003Df8254E,117801,3
0x517F4182F5C9121cD166CeA35674B24aacC75c1F,22,3
0x6b7fc02bDdc7aD1b0728A22F3b4462F931bc8EfA,1824,3
0x82F0884654E0e478e0393c2940fb05A22fb7d27c,2921,3
0xaB6A8cd92c41a357A253e53c12AD376169804306,28,3
0xB1E037aA54e1F3bc096E1c09791Ac27Fe388aBa8,303024,3
0xB38e8c17e38363aF6EbdCb3dAE12e0243582891D,3649,3
axelar13nzmmp4dz0xxg0d7tfkt6nflj7aacvmuvg9pf2,312,3
axelar13v7q5unkpd8lmtwmu5s470ekykv6sry343hvk7,4049,3
axelar19t2ux6g4zpqutl5uapj92lxqkk7klstj2pcek4,63469,3
axelar1a082t7jkl8fzhqvm0vgcy5rtq7hfqkrdnwh8s7,37806,3
axelar1haxe7p6nlhzpxq6qm2n5ryuqdm5pj9n3hdypz4,3,3
axelar1ppnq7cmrhy7g52w3th0qpzsrda4n264th5cgrp,5,3
axelar1up0w59tkjv02c5tlde9wa03ep362stre00f3g6,111336,3
c4e15f8tkyvxyle28nhet04lgtja7kg7803g5xd4nu,1206,3
ki1rng585ex024csm3mqwrpug4lk0elfvxu8l33vw,1877,3
kujira1dtf25en9x34mkln3ruecs2n4ruwwc9a45jme0a,84,3
kujira1qv6ztjjyhdec59sqkad65n89959tzgkt3xhrph,9420,3
kujira1w99d6y2c4v272ntg7lyr8c23a406q8rhwzv9jr,764,3
osmo12kslnszt8lazxturdt8qzxpmz7d7agmn8krz5n,499,3
osmo12sczd7vmheqat355txqducgm6fk86ye4eel33f,122306,3
osmo17c693mpg3hxnun3s235q5ur7gtptmcpr84uxsd,0,3
osmo1d0w5dt9hxmlps42nn350umgtyu7gh67rtp8m3j,64,3
osmo1gksjy3g22w50k2q4mvwfp6pmlyr2j9eflsvx2m,4291,3
osmo1haxe7p6nlhzpxq6qm2n5ryuqdm5pj9n3mcpelx,47,3
osmo1hngaa78wway50a055sgj3wf3yvme2sxguvjeq8,150,3
osmo1njdjxy68ewsuceq24m26jlhex5rgx7s4kzaw65,89,3
osmo1q49late3v0yqhxvlfpp29p7mf7pfh7vu0remus,223,3
osmo1q5fcf3074y8rvcaz5ptfexptxuvu9sv9q3gxxd,4192,3
osmo1svqnpu3twqqz7mzjnxwx6fkgyyl8rzzqns6q4t,143,3
osmo1t8e8h0tfh2xrwsdhcf942cdm9yutjzvcgka7tj,1031459,3
osmo1z3w54j60gl8nynhjmz4ayr6qvv0wzlpawuyauv,107,3
secret1k5xgkrxhl4aqc07hwndr6l65uxenm6plh897vj,4453,3
secret1m473ayjxz7n33dclefavdvvyvmmdk8zzwxtude,117215,3
secret1p3f40gmntgasvwgwaennsrr2zy9zp8qg007cvs,8992,3
sei169hjf77ygsqef0ks2mnaa8u6k0t26f5ex469xj,0,3
sei17m6wmurxlqa3sn93rujvn9y0n9u8y6wudes8xn,0,3
sei1h3rp52vzf5xsncqn8cr7mzuz6jff3xl8krx57k,0,3
sei1rd2clxkgj4gnx09t7z086csp6rxtreex3g95m9,0,3
sei1vet0y7zcs9jg43xvdy9jn0zvyrpdeq2yjy6ehy,0,3
umee10xnqv49h7hh0gfspl7pq6w5nfqtkvj4ru0ekd9,500,3
0x05dDC942967F93c61EA8E9e27FE6A97B06F93857,5494,2
0x094E3800aa5AC7F6b2e04F747AB744B1B75107EA,1303,2
0x1acA19D8Bdb35789279d2109A8Dc29a492E4B3F1,796,2
0x1C727a55eA3c11B0ab7D3a361Fe0F3C47cE6de5d,1383,2
0x249bCdeB1E9AA26b4d2daB71FDC0644F23e84598,0,2
0x2CD689A94a5bCd2EBA25E4b9F47088af70562A3B,2027,2
0x309B83B90dDCD6Ab13982ebE83dfA9D1a2C5988E,38081,2
0x32dcfbFfE4180b62c69EC302Cc064A08a2Ea9aDA,66295,2
0x3931dAb967C3E2dbb492FE12460a66d0fe4cC857,2490,2
0x49aCdc2FBd3473DA4963F58B58408ffcde7B8EE4,5481,2
0x49c9cB980c993f8Fa5339d91606fd605d33686Dc,2642,2
0x4bBE1e27b75eC45210A9C3dCDAc00960d1f5Db3a,235,2
0x5ADEFa6B4c1e343C82C9f2C683918101873FBA78,505,2
0x6432281559f3C3ffB28D43fB0E6a00ccAf24847B,123,2
0x6945c4618339b970901A7Efb8f476224602cCE4a,4471,2
0x6C069dF48A46e8E750c50175243a746b47b541d8,33096,2
0x6da6BD71351a63EB1E5b075d634e2010d4Be563D,1248,2
0x71b0Ac2dcAb920f48012b6b63D07504Be150340B,11043,2
0x7326E65556775614fc19479051665566bf33068c,5007,2
0x796E842f95Ec871c87904B0f6a260380BDaab9de,0,2
0x820700d2aCb93732A43eD1D3687e838bb68B29c5,3979,2
0x888e0847F5EbBadE5F15c01767776B984D25471D,88561,2
0x90204A853450F35b6F9533E002187fFF45F606eF,207,2
0x9048b9135bF2c0119154f8C007b1a51566106137,13473,2
0x9E8580C9E57F350009d8FEcD096386216a5c73Fb,19790,2
0xBE5B39EDA332656F78a5F627a9EED24Ac37A0c0F,17056,2
0xBe9298cB2B6A5f176D71E0B1b45F4b072809cc0C,19,2
0xa296e8bBD5A34BB14b7689Aa6ee2D01857b069E8,7730,2
0xa48710C75574DDD649AD95c9F9D0298551323096,84,2
0xA57ADCE1d2fE72949E4308867D894CD7E7DE0ef2,0,2
0xD36737213e6cB7e9C9c5C6B60BA422094DCC01da,9262,2
0xd43324eB6f31F86e361B48185797b339242f95f4,8742,2
0xDEb3994785Bfc8863e808df0E0C43C9C0058d7c9,620,2
0xed683d158bB6B3dFbD6264fF66a282742b3B99c7,8898,2
0xf6092D3f5F744048D83Ac9fE5D8b28E28Cac4593,748,2
0xfB41f6ef93417c1d888B6D4F1027456718c89b8b,0,2
0xfe4e5610751C4944E5D8Badc1E82b26d76a2495c,5022,2
axelar109ufw5kfq0c58y3ghvdrpcqjl09s6yjx7k93ap,73,2
axelar10y3xt4zjx8348f76zdu98jknv69xwz6qk0gylf,1018,2
axelar148z0dszy0yc0pztpqumv7eqn280jd7yyznwuz0,642,2
axelar14emwsqy7a0wnaews36vnryskfkw2jydm6s9cz9,363,2
axelar180fxmw485fggv0yety79dhg4kn74gxet8mr0r2,192,2
axelar192wtay852g79vdhu05v3z9zcg0m20tqpnrw6dw,49861,2
axelar1au5ur4l60wg2jzgwkqhvuh8uakx8uqwvj4jdwt,20993,2
axelar1hj2hl0peualurlkp3cx85yk38sv6v68a7jhp04,129,2
axelar1hkdp3w7dgednsrluq82wnwuuz7a5r5upfzqud8,82941,2
axelar1hrr0j5klu7wgpm9dlahqdfk8nrs2453yykf54j,228,2
axelar1jkdrxkcmddrt8p8z4svt3juadlvrz7gn4m0r4u,52160,2
axelar1kdv9vs4femk08pexw9ar5evkgrnrc546g9y2v7,7995,2
axelar1n773hj4w25m2t2y5j3e7rradpqedrgghdt2z2x,403,2
axelar1nj8zdetrf6g5zwzf3yncepvqtdhv40mdu9q9nh,80814,2
axelar1pk3lswrmlqmg094csnl2xyh5eeezq843j2kdd8,14,2
axelar1plm9fqrrqachtuh9ghq9cr6teykdns0gh00tpu,24954,2
axelar1puznfwl9npp29as29y8fspfzmydg0k3fg73a5y,15,2
axelar1rz8r2phn83kwarqukh9ex69cdtvkpf8s765skj,1657,2
axelar1udv34juaeummwat3gzsa6tapun994j2na7mkms,4463,2
axelar1upevflvs0yng3fxsk973pq94fzxrnnd55994qn,401096,2
axelar1ww9jka770xzvfhx8rhr9hp3hylmepfmuklrlma,2361,2
axelar1ytcfmu9uqzh7lqz9zmu7cvjgcreuecjnpcp538,259,2
axelar1ywjl9xwdnrqt97084hg5zgrrwudkuguskcllpx,735,2
